platform,page_url,image_url,file,alt,bytes,status
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/banner2.jpg?ver=20260303&,official-website/banner2-78039e229b.jpg,Banner 1 of Glenwood Guest House and Self Catering Cottage,71697,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/banner3.jpg?ver=20260303&,official-website/banner3-8ff33b8b4d.jpg,Banner 1 of Glenwood Guest House and Self Catering Cottage,67902,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/banner4.jpg?ver=20260303&,official-website/banner4-4d130067a1.jpg,Banner 1 of Glenwood Guest House and Self Catering Cottage,61396,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/banner5.jpg?ver=20260303&,official-website/banner5-e1948dd593.jpg,Banner 1 of Glenwood Guest House and Self Catering Cottage,72693,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/banner6.jpg?ver=20260303&,official-website/banner6-77de2a45ed.jpg,Banner 1 of Glenwood Guest House and Self Catering Cottage,96312,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/glenwood-guesthouse-2026-fronthouse-car-park-05.jpg,official-website/glenwood-guesthouse-2026-fronthouse-car-park-05-61423f0a66.jpg,Glenwood Guesthouse 2026 Fronthouse Car Park 05,35677,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/garden.jpg,official-website/garden-4a2cc6853c.jpg,garden.jpg,61362,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/2023-glenwood-room-3-twin.jpg,official-website/2023-glenwood-room-3-twin-459acb064e.jpg,2023 Glenwood Room 3 Twin,114224,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/2023-glenwood-room-4.jpg,official-website/2023-glenwood-room-4-6de78cfba5.jpg,2023 Glenwood Room 4,146794,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/2023-glenwood-room-5.jpg,official-website/2023-glenwood-room-5-1b6620e74c.jpg,2023 Glenwood Room 5,126553,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/Dining_room_resize_15.8.11.jpg,official-website/Dining_room_resize_15-8-11-599f2f0a8f.jpg,Dining Room,45792,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/system_default_template/publicimage/accommodation_grading_wales_default_4star_.gif,official-website/accommodation_grading_wales_default_4star_-d800ef7286.gif,Grading Wales 4 Star,2594,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/system_default_template/publicimage/facility_children2_.gif,official-website/facility_children2_-e8cf9b3688.gif,Children Welcome,1257,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/system_default_template/publicimage/facility_internet2_.gif,official-website/facility_internet2_-f12192faef.gif,Internet Access,1366,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/system_default_template/publicimage/facility_nosmoking2_.gif,official-website/facility_nosmoking2_-611b0dfacc.gif,No Smoking,1410,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/system_default_template/publicimage/facility_onlinebooking2_.gif,official-website/facility_onlinebooking2_-24656760c1.gif,Online Booking Available,1228,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/system_default_template/publicimage/facility_parking2_.gif,official-website/facility_parking2_-720cb95d0d.gif,Private Parking Available,1135,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/system_default_template/publicimage/Cyclists-small.jpeg,official-website/Cyclists-small-788d5e593a.jpeg,Wales cyclists welcome,14834,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/system_default_template/publicimage/Walkers-small.jpeg,official-website/Walkers-small-60f320536d.jpeg,Wales walkers welcome,14876,duplicate
official-website,http://www.snowdonia-bedbreakfast.co.uk,http://www.snowdonia-bedbreakfast.co.uk/image/upload/system_default_template/publicimage/Betws-y-Coed_Association_member.jpeg,official-website/Betws-y-Coed_Association_member-476414c9d3.jpeg,Betws-y-Coed Association member,8552,duplicate
official-website,https://www.snowdonia-bedbreakfast.co.uk/enquiryform.html?i=41811&,https://www.snowdonia-bedbreakfast.co.uk/image/w1.jpg,official-website/w1-fb3a579ea4.jpg,We take security seriously at Glenwood Guest House and Self Catering Cottage,12453,downloaded
